CompID	MZ	Time	isotopes	adduct	pcgroup	name	fold	tstat	pvalue	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	bio	blank	200825_001_scan049_I	200825_002_scan034_I	200825_003_scan011_I	200825_004_scan015_I	200825_005_scan017_I	200825_006_scan021_I	200825_007_scan021_I	200825_008_scan025_I	200825_009_scan020_I	200825_010_scan016_I	200825_011_scan020_I	200825_012_scan017_I	200825_013_scan013_I	200825_014_scan019_I	200825_015_scan017_I	200825_016_scan015_I	200825_017_scan015_I	200825_018_scan018_I	200825_019_scan022_I	200825_020_scan020_I	200825_021_scan013_I	200825_022_scan014_I	200825_023_scan021_I	200825_024_scan013_I	200825_025_scan014_I	200825_026_scan011_I	200825_027_scan013_I	200825_028_scan019_I	200825_029_scan019_I
538	375.194	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7194.525586	4611.541719	3042.047139	3823.483741	7218.406604	4061.517267	5019.180489	6344.764558	4992.452483	5852.510461	5139.876985	4449.107134	8507.301487	4955.925636	4756.310562	4531.812705	4354.730527	5946.855558	4720.619612	6392.420721	3905.413159	6001.630703	4736.276279	6039.318125	3119.860096	4424.935972	4101.400807	3702.695488	6198.766826
539	375.201	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7326.44506	4790.600806	3069.048891	3214.53377	6853.837198	4567.417843	4788.21371	5460.640121	4078.277218	5947.789819	4696.90625	4881.018649	8243.133569	4628.660786	3908.5625	2913.541835	4786.553427	5109.096774	4495.115423	4583.600302	4417.242944	5544.739919	4715.854335	4991.027218	3730.296371	5491.887601	4108.163306	3493.934476	6070.465726
540	375.257	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100799.1331	37822.03075	32322.0363	22131.68843	44212.41618	25695.72271	38650.81573	50504.67204	19654.13461	28687.75195	22258.86892	36045.92034	37785.12125	29110.16864	24538.75372	20687.59592	21333.02773	36615.23065	20077.56642	29497.49735	17532.11772	24896.95967	19940.62339	22074.606	14063.16032	21632.85379	18877.92337	34837.41467	81161.30023
541	376.195	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6077.300151	3056.787802	2988.615171	2891.810988	6298.418599	2862.146673	4321.326109	5924.991431	3460.269909	5355.062752	3839.607611	3868.611643	5810.605595	3594.240927	4454.591734	3248.576613	3785.570312	4029.949849	4462.102823	4869.764617	4337.348538	4461.638357	4658.489919	3913.400454	2624.709929	4768.101562	2990.197833	2635.270161	4937.935484
542	376.226	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10059.79814	5719.891633	3741.871472	4727.431452	11038.75907	4820.360635	7911.426411	7748.076613	5561.778478	8363.372228	6617.815524	8583.757308	10765.3619	5303.574093	4856.797631	6698.766633	7121.734627	5880.836946	7015.418347	7294.691028	5947.299647	7883.221018	7170.691532	7904.833669	6155.71875	6479.096522	5557.280746	4623.099042	7505.34879
543	376.234	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7681.935468	5376.60121	3043.048903	5181.7091	7490.700529	5062.758508	7552.65339	5387.827073	5382.959163	7807.491807	4381.832871	6695.629443	8108.466095	6675.622385	6062.640786	6815.157802	7443.257373	5195.64608	5459.565415	8319.631964	6476.018402	8364.860348	6479.877489	5263.749937	4500.219057	7519.591379	6030.916057	4225.376355	6688.410386
544	376.258	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18110.80911	9751.252189	9046.08056	5914.751313	7587.423818	6233.474606	8208.532399	10658.46935	7263.022767	9428.525394	7473.632224	8390.390543	8264.730298	7668.579685	7176.455341	6627.763573	6459.047285	11183.11033	8230.91944	9519.448336	7033.136602	9093.113835	6821.697023	7791.043783	5670.422067	5990.56042	6509.777583	7802.019264	14046.84238
545	377.216	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9046.016508	5315.861431	3992.903452	5080.361181	12785.91346	4698.308654	6878.46023	7483.782891	6742.865933	8236.038519	6731.302651	6209.49925	9361.208104	6441.598799	7171.172586	6044.168084	6855.001501	5587.904452	6471.301651	5836.254627	5575.207104	7466.026513	8124.576288	6903.629315	4899.561281	6156.885443	6462.612806	3932.270635	6485.733367
546	377.236	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5294.238719	4306.275775	3868.75271	5247.952609	9774.877741	4915.593396	6489.218553	8205.458785	6771.009075	7666.585581	6582.705067	6347.27149	9287.099319	4695.705319	5947.27275	6896.598185	6476.308041	6641.837913	7388.433325	7446.553819	7193.238215	7799.205193	7058.665742	6204.289387	5680.138392	5974.752206	7449.816486	2158.110159	2318.852533
547	377.275	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	102251.8487	37829.497	18088.61181	13488.32616	17283.96298	14703.21686	18273.29365	24983.28289	11077.1946	15673.9052	11314.07304	20480.98299	17197.76438	18518.02651	14574.93872	14319.29515	13317.72011	26940.67959	13255.5095	22918.68409	14007.86768	19819.25863	13682.01551	15786.0943	10980.11206	12974.88194	12541.27289	34927.2096	102019.917
